	z	xi	dl	da
153	0.153	632.5268700408312	729.3034811570784	548.5922550224035
154	0.154	636.5052995560819	734.5271156877185	551.5643843640225
155	0.155	640.4816761304855	739.7563359307109	554.5295897233641
156	0.156	644.4559993875877	744.9911352920512	557.487888743588
157	0.157	648.4282689561666	750.2315071822848	560.43929901138
158	0.158	652.3984844702256	755.4774450165212	563.3838380571897
159	0.159	656.3666455689853	760.7289422144539	566.3215233554662
160	0.16	660.3327518968748	765.9859922003748	569.2523723248921
161	0.161	664.2968031035247	771.2485884031921	572.1764023286173
162	0.162	668.2587988437577	776.5167242564464	575.0936306744903
163	0.163	672.2187387775812	781.7903931983269	578.004074615289
164	0.164	676.1766225701795	787.0695886716888	580.9077513489515
165	0.165	680.1324498919047	792.354304124069	583.8046780188023
166	0.166	684.0862204182688	797.6445330077014	586.6948717137811
167	0.167	688.0379338299357	802.940268779535	589.5783494686681
168	0.168	691.9875898127128	808.2415049012485	592.455128264309
169	0.169	695.9351880575429	813.5482348392676	595.3252250278382
170	0.17	699.8807282604945	818.8604520647785	598.1886566329013
171	0.171	703.824210122755	824.1781500537461	601.0454398998761
172	0.17200000000000001	707.7656333506218	829.5013222869287	603.8955915960937
173	0.17300000000000001	711.7049976554937	834.8299622498942	606.7391284360559
174	0.17400000000000002	715.6423027538624	840.1640634330344	609.5760670816545
175	0.17500000000000002	719.5775483673037	845.503619331582	612.4064241423862
176	0.176	723.5107342224699	850.8486234456245	615.2302161755697
177	0.177	727.4418600510802	856.1990692801214	618.0474596865591
178	0.178	731.3709255899126	861.5549503449171	620.8581711289581
179	0.179	735.2979305807952	866.9162601547575	623.6623669048305
180	0.18	739.2228747705977	872.2829922293053	626.4600633649134
181	0.181	743.145757911222	877.6551400931531	629.2512768088246
182	0.182	747.0665797595944	883.0326972758406	632.0360234852745
183	0.183	750.9853400776568	888.415657311868	634.8143195922712
184	0.184	754.902038632357	893.8040137407106	637.5861812773286
185	0.185	758.8166751956405	899.197760106834	640.3516246376713
186	0.186	762.7292495444423	904.5968899597085	643.1106657204404
187	0.187	766.639761460677	910.0013968538237	645.8633205228955
188	0.188	770.5482107312304	915.4112743487017	648.6096049926182
189	0.189	774.4545971479505	920.8265160089131	651.3495350277127
190	0.19	778.3589205076385	926.2471154040898	654.0831264770071
191	0.191	782.2611806120404	931.6730661089402	656.8103951402522
192	0.192	786.1613772678373	937.104361703262	659.5313567683199
193	0.193	790.0595102866367	942.5409957719577	662.2460270634004
194	0.194	793.9555794849634	947.9829619050463	664.9544216791988
195	0.195	797.8495846842503	953.4302536976792	667.6565562211299
196	0.196	801.7415257108297	958.8828647501523	670.3524462465132
197	0.197	805.6314023959242	964.3407886679213	673.0421072647654
198	0.198	809.5192145756371	969.8040190616132	675.7255547375936
199	0.199	813.4049620909436	975.2725495470414	678.4028040791857
200	0.2	817.2886447876813	980.7463737452175	681.0738706564011
201	0.201	821.1702625165415	986.2254852823663	683.7387697889604
202	0.202	825.0498151330598	991.7098777899379	686.3975167496338
203	0.203	828.9273024976062	997.1995449046203	689.0501267644274
204	0.20400000000000001	832.8027244753773	1002.6944802683543	691.6966150127719
205	0.20500000000000002	836.6760809363851	1008.1946775283441	694.3369966277055
206	0.20600000000000002	840.5473717554491	1013.7001303370716	696.9712866960607
207	0.20700000000000002	844.4165968121871	1019.2108323523099	699.5995002586471
208	0.20800000000000002	848.2837559910042	1024.726777237133	702.221652310434
209	0.209	852.1488491810853	1030.2479586599322	704.8377578007322
210	0.21	856.0118762763848	1035.7743702944256	707.4478316333759
211	0.211	859.872837175617	1041.3060058196722	710.0518886669008
212	0.212	863.7317317822472	1046.8428589200835	712.6499437147254
213	0.213	867.5885600044816	1052.3849232854361	715.2420115453269
