 T   log_Wcor   Icor   Mcor 
 3      2.501  12.71  -21.46
 3      2.583  12.21  -21.96
 4      2.349  11.77  -22.40
 2      2.530  12.82  -21.35
 3      2.696  11.95  -22.21
 3      2.558  12.52  -21.65
 3      2.662  12.16  -22.01
 3      2.583  12.61  -21.56
 3      2.722  11.36  -22.81
 3      2.423  13.43  -21.16
 2      2.450  13.16  -21.00
 2      2.778  11.34  -22.83
 3      2.534  13.36  -20.81
 4      2.575  12.86  -21.30
 3      2.587  12.49  -21.68
 5      2.544  12.85  -21.32
 4B     2.502  12.19  -20.78
 3      2.476  13.18  -20.98
 3      2.346  13.77  -20.40
 5      2.570  12.42  -21.75
 5      2.527  13.07  -21.58
 2B     2.450  12.41  -21.76
 5      2.507  13.84  -20.34
 4      2.518  12.81  -21.36
 3      2.456  12.14  -20.93
 4B     2.649  11.76  -22.41
 4      2.636  12.19  -21.97
 2B     2.714  12.46  -21.71
 4      2.344  14.04  -20.13
 3      2.553  12.47  -21.70
 5      2.464  13.38  -20.79
 4      2.520  13.06  -21.09
 5B     2.528  12.92  -21.38
 5      2.165  12.39  -17.80
 5      2.494   9.29  -20.92
 3B     2.518  10.17  -20.02
 5      2.306  12.65  -18.03
 5B     2.362  10.65  -19.55
 5      2.212  11.98  -18.21
 5B     2.254  12.01  -18.20
 5      2.523   9.29  -20.92
 5      2.539   9.42  -20.77
 5      2.188  12.59  -17.61
 5      2.142  13.41  -16.80
 6      2.177  13.22  -16.97
 5      2.408  10.08  -20.11
 3      2.481  10.02  -20.17
 3B     2.633   8.75  -21.44
 5      2.391  10.74  -19.45
 3      2.329  11.23  -18.96
 6      2.191  12.16  -18.03
 3      2.569   9.20  -20.99
 6      2.377  10.70  -19.49
 5B     2.280  11.84  -18.35
 5      2.424  10.57  -19.64
 5      2.566   9.02  -21.17
 4      2.565   9.40  -20.79
 3      2.562   9.71  -20.42
 5B     2.251  12.52  -17.68
 3      2.580   9.10  -21.09
 5      2.328  10.76  -19.43
 3      2.572   9.13  -21.06
 5      2.106  13.30  -16.90
 5      2.282  13.36  -19.16
 4      2.465  11.59  -21.11
 3      2.365  11.81  -20.92
 3      2.664   9.90  -22.67
 5      2.658  10.19  -22.40
 5      2.386  12.41  -20.04
 3      2.173  12.62  -19.88
 5      2.205  13.67  -18.95
 4      2.431  11.68  -20.89
 5      2.510  10.98  -21.64
 4      2.363  12.07  -20.55
 5      2.428  11.50  -21.12
 3      2.447  11.55  -21.07
 5      2.647   9.89  -22.73
 3      2.491  11.61  -21.01
 4      2.328  13.09  -19.53
 1      2.586  11.64  -20.98
 5      2.247  13.12  -19.50
 3      2.510  11.51  -21.11
 5      2.433  12.25  -20.37
 5      2.283  13.25  -19.37
 5      2.602  11.24  -21.38
 5      2.346  12.90  -19.72
 5      2.499  11.28  -21.34
 5      2.334  13.27  -19.35
 5      2.153  13.34  -19.28
 3      2.225  13.10  -19.21
 5      2.559  10.55  -21.61
 5      2.284  13.35  -19.26
 5      2.482  12.02  -20.60
 4      2.243  12.54  -20.08
 5      2.211  13.87  -18.75
 3      2.477  11.88  -20.74
 5      2.389  12.25  -20.71
 5      2.306  13.22  -19.42
 3      2.763   9.64  -22.93
 5      2.536  10.39  -22.09
 5      2.453  11.59  -21.13
 5      2.510  11.02  -21.57
 5      2.503  11.66  -21.37
 5      2.632  11.69  -22.12
 3      2.557   9.98  -21.81
 3      2.647  11.98  -22.00
 3      2.536  11.71  -21.46
 5      2.481  10.83  -21.12
 5      2.652  12.65  -22.10
 5      2.328  12.71  -20.73
 5      2.367  13.06  -20.85
 3      2.643  11.90  -21.93
 4      2.540  12.26  -21.19
 5      2.621  11.05  -22.40
10      2.226  12.48  -19.37
 5      2.620  11.40  -22.04
 3      2.370  13.49  -19.96
 3      2.467  11.74  -21.71
 5      2.799  10.30  -23.06
 4      2.552   9.80  -22.15
 3      2.635  11.80  -21.85
 5      2.365  10.30  -20.75
 5      2.342  11.09  -20.57
 3      2.653  12.95  -22.11
 3      2.702  11.38  -22.21
 3      2.521  12.50  -21.11
 5      2.721  11.06  -22.54
 5      2.377  11.04  -21.10
 5      2.180  12.55  -19.12
 5      2.692  12.43  -22.33
 7      2.146  13.42  -18.12
 7      2.145  12.20  -19.01
 7      2.252  10.81  -20.35
 3      2.563  12.33  -21.73
 3      2.374  12.19  -20.05
 5      2.425  11.33  -20.90
 5      2.556  12.72  -21.52
 3B     2.560  12.80  -21.43
 3      2.503  13.07  -21.27
 4      2.510  13.60  -20.70
 3      2.630  12.81  -21.83
 2      2.667  12.26  -22.27
 2      2.494  12.98  -21.45
 5      2.659  12.56  -22.38
 4      2.448  13.40  -21.15
 3      2.496  13.62  -20.36
 2      2.470  13.49  -20.82
 5      2.545  12.77  -21.54
 4      2.536  12.88  -21.43
 5      2.483  13.07  -21.24
 5      2.541  13.01  -21.63
 5      2.472  13.15  -20.92
 3      2.540  13.35  -20.95
 2      2.716  12.31  -21.99
 3      2.469  13.72  -20.58
 3      2.691  11.98  -22.33
 5      2.550  13.23  -21.08
 5      2.514  13.04  -21.27
 3      2.508  13.22  -21.09
 6      2.616  12.43  -21.87
 1      2.569  12.69  -21.62
 3      2.629  12.08  -22.23
 4      2.399  13.66  -20.64
 6      2.420  13.57  -20.73
 3      2.569  12.59  -21.72
 2      2.666  12.53  -21.78
 3      2.584  12.97  -21.34
 5      2.308  14.27  -20.04
 4      2.668  11.97  -22.34
 5      2.377  13.87  -20.44
 5      2.430  13.26  -20.48
 5      2.708  11.98  -22.33
 3      2.566  12.50  -21.81
 5      2.386  13.72  -20.59
 5      2.396  13.08  -20.65
 5      2.442  13.42  -20.88
 2B     2.529  12.80  -21.51
 5      2.376  13.47  -20.56
 3      2.778  11.50  -22.81
 3      2.465  13.04  -20.98
 5      2.385  14.15  -20.16
 5      2.590  12.05  -21.80
 5      2.509  12.49  -21.35
 3B     2.727  11.79  -22.43
 5      2.339  13.46  -20.19
 4      2.571  12.59  -21.41
 6      2.233  12.88  -19.73
 3      2.399  12.27  -20.36
 3      2.518  11.39  -21.46
 5      2.490  11.71  -20.76
 5      2.435  12.00  -20.64
 3      2.531  11.12  -21.47
 5      2.332  12.55  -20.00
 3      2.380  12.57  -20.30
 8      2.178  13.21  -19.34
 5      2.345  11.77  -20.77
 5      2.347  12.32  -20.23
 6      2.043  13.65  -18.29
 4      2.335  12.16  -20.39
 3      2.322  13.10  -18.82
 5      2.547  10.63  -21.82
 5      2.461  11.40  -21.15
 5      2.512  10.88  -21.66
 5      2.403  11.93  -20.44
 5      2.175  13.09  -18.70
 5      2.415  11.24  -21.30
 7      2.228  13.06  -18.87
 5      2.216  12.31  -19.60
 5      2.362  11.73  -20.32
 5      2.562  11.07  -21.47
 5      2.296  11.38  -20.42
 3      2.207   9.92  -21.66
 3      2.627  11.41  -21.99
 5      2.403  13.06  -20.17
 5      2.335  13.33  -19.98
 5      2.208  13.20  -18.98
 3      2.445  12.90  -20.47
 5      2.528  10.00  -22.13
 4      2.342  12.98  -19.94
 4      2.372  13.27  -20.14
 5      2.524  11.05  -21.26
 4      2.671  11.87  -22.38
 3      2.405  12.43  -20.62
 3      2.623  11.67  -21.76
 6      2.452  12.79  -20.90
 3      2.574  12.14  -21.29
 3      2.591  11.83  -21.60
 5      2.373  13.17  -20.26
 5      2.537  12.38  -21.05
 3      2.716  11.23  -22.20
 3      2.533  11.90  -21.53
 4      2.572  11.72  -21.71
 5      2.627  11.52  -21.92
 7      2.076  11.26  -19.58
 3      2.376  13.42  -20.70
 3      2.607  12.20  -22.16
 3      2.563  11.63  -21.52
 3      2.487  11.16  -22.00
 5      2.589  11.72  -21.81
 5      2.670  12.38  -21.92
 5      2.414  12.73  -20.42
 5      2.464  13.36  -21.03
 6      2.322  12.93  -20.07
 4      2.650  11.18  -22.13
 3B     2.663  12.44  -22.43
 5      2.534  13.62  -21.36
 3B     2.685  12.60  -22.21
 3      2.500  13.10  -21.75
 3      2.547  13.07  -21.78
 3      2.618  12.75  -22.09
 3B     2.523  13.43  -21.38
 3      2.684  12.77  -22.04
 7      2.306  14.39  -20.42
 2      2.607  13.04  -21.80
 3      2.364  13.24  -21.60
 3      2.573  13.64  -21.21
 3      2.594  13.32  -21.53
 4      2.475  14.66  -20.18
 4      2.582  13.19  -21.65
 3B     2.579  12.90  -21.90
 3      2.548  13.37  -21.47
 2      2.740  12.69  -22.11
 2      2.699  12.72  -22.12
 5      2.526  13.83  -21.16
 5      2.631  12.76  -22.08
 3      2.749  12.00  -22.81
 3      2.627  12.94  -21.87
 2      2.722  12.49  -22.31
 2      2.697  12.65  -22.23
 5      2.505  13.33  -21.49
 5      2.585  11.34  -22.06
 5      2.595  11.47  -22.07
 5      2.225  13.00  -19.26
 3      2.404  11.63  -20.57
 5      2.385  12.29  -20.89
 5      2.310  12.63  -20.02
 5      2.263  12.36  -19.50
 3      2.455  11.76  -20.75
 5      2.511  12.06  -21.37
 5      2.371  11.55  -20.67
 5      2.637  10.98  -22.26
 3      2.431  12.86  -20.37
 5      2.607  11.09  -21.42
 3      2.301  11.26  -20.30
 3      2.482  10.07  -21.66
 5      2.468  11.45  -22.00
 5      2.607  11.44  -21.92
 5      2.321  13.48  -19.76
 3      2.359  12.62  -20.04
 5      2.258  13.66  -19.74
 5      2.483  11.76  -21.48
 5      2.527  11.71  -21.53
 5      2.374  12.50  -20.23
 3      2.649  10.75  -22.05
 3      2.432  12.85  -20.28
 3      2.723  10.90  -22.30
 5      2.432  11.92  -20.98
 5      2.439  11.51  -20.97
 5      2.412  12.16  -21.05
 3      2.386  12.47  -19.93
