 GIN  Name xx      CAN    cz     e sigma   e  dsigma
308  J11 1       37   9265   33   210   37     99
310  J12 A       38  12115   41   268   45     99
311  J12 B      338  10873   36   298   37     99
312  J12 C       38  13206   34   202   39     99
313  J12 D      238  17845   28   232   40     99
314  J12 E       38  13288   15   213   11     23
315  J12 F       38  12542   18   258   17     12
316  J12 1      138  15408   17   218   14     20
317  J12 2       38  34905   65   284  124     99
318  J13 A       39   9333   32   264   31     99
319  J13 B       39   9323   24   183   23     99
320  J13 C       39   8724   27   130   45     99
321  J13 D       39   8728   32   217   34     99
322  J13 E      239  17438   56   368   64     99
323  J13 F       39   8625   25   172   26     99
324  J13 G       39   9060   37   303   39     99
325  J13 H       39   8764   21   248   30     99
326  J13 I       39   8857   20   179   29     99
328  J13 K       39   8927   24   199   26     99
329  J13 L      339  15651   31   225   40     99
330  J13 M       39   8808   16   145   18     21
331  J13 N      139  18872   72   999  999     99
332  J13 O       39   8762   75   999  999     99
333  J13 P       39   8671   17   180   10     99
334  J13 1      139  18851   47   331   65     99
335  J13 2      139  19410   25   178   29     99
336  J36 A       40  11230   23   289   25     38
337  J36 B       40  11624   19   231   21     33
338  J36 C      140   9966   27   194   23      5
339  J36 D       40  11982   16   250   14     14
340  J36 1      340  28974   32   159   54     99
341  J36 2      240  17291   27   253   23     99
342  J36 3      140   9647   21   187   14     99
343  J14 A       41   8722   30   255   30     99
344  J14 B       41   8955   28   205   28     99
345  J14 C       41   8632   31   158   61     99
346  J14 D       41   9247   34   213   78     99
347  J14 1      241  20534   81   529  142     99
348  J14 2       41   9307   16   157   14     19
349  J14 3      141  13280   25   196   30     99
350  J14 4      141  14090   19   164   11     99
351  J14 5      241  20345   41   151   61     99
352  J14-1 A     42   8721   29   247   29     99
353  J14-1 B     42   8954   28   205   28     99
354  J14-1 C     42   8306   28   179   30     99
355  J14-1 D     42   8842   21   122   21     99
356  J14-1 E     42   9138   19   182   15      2
357  J14-1 F     42   8734   14   188    8     20
358  J14-1 1    142  16133   32   282   38     99
359  J14-1 2    142  15649   37   272   34     99
360  J14-1 3    142  16096   72   999  999     99
361  J14-1 4    142  15574   73   999  999     99
362  A1983 A     43  13601   47   298   56     99
363  A1983 B     43  13205   19   289   17      7
364  A1983 C     43  14069   36   178   48     99
365  A1983 D     43  13749   43   254   53     99
366  A1983 E     43  13426   37   275   51     99
367  A1983 F     43  13819   18   179   13     99
368  A1983 G     43  13718   18   221   13     99
369  A1983 1     43  13631   22   210   19     20
370  A1983 2     43  13786   18   127   12     99
371  A1983 3    143  21438   23   218   20     99
372  A1991 A     44  17752   46   365   67     99
373  A1991 B     44  16954   35   260   61     99
374  A1991 C     44  16696   30   229   56     99
375  A1991 D    144  13213   44   369   65     99
376  A1991 E    144  13167   51   446   84     99
377  A1991 F    244  21199   64   383  100     99
378  A1991 1     44  17578   20    83   17     99
379  A1991 2     44  16636   28   266   38     12
380  A1991 3     44  16214   23   257   20     17
381  A1991 4     44  16504   73   999  999     99
382  A1991 5     44  17261   23   189   19     99
383  J16 A       45  10948   44   304   49     99
384  J16 B      245  14024   40   288   44     99
385  J16 C      345   7789   37   216   44     99
386  J16 D      145  15684   51   309   65     99
387  J16 E       45  10810   15   255   11     11
388  J16 F       45  11405   14   241   12      7
390  J16 1      145  15972   23   161   14     99
392  J16 3       45  11533   72   999  999     99
393  J16 4      145  15616   24   252   19     99
394  J16 5       45  10930   20   187   13     99
395  J16-W A     46  10800   22   258   35     99
396  J16-W B     46  11325   24   127   27     99
397  J16-W C     46  10404   22   218   33     99
398  J16-W D     46  11137   27   325   24     99
399  J16-W E     46  10788   35   209   44     99
400  J16-W F     46  10717   21   142   70     99
401  J16-W G     46  11325   23   203   16     99
402  J16-W H     46  12462   23   234   36     99
403  J16-W I    146  23945   25   215   23     99
404  J16-W 1     46  11269   21    93    9     99
406  A2063-S A   50  11785   19   221   48     42
408  A2063-S C   47  13876   27   246   23     99
409  A2040 A     48  13709   24   187   28     99
410  A2040 B     48  13722   24   223   20     99
411  A2040 C     48  13213   15   196   12      4
412  A2040 D     48  31895   23   239   22     99
413  A2040 E     48  12927   63   336  125     99
414  A2040 F     48  13449   42   353   61     99
415  A2040 G     48  13520   75   999  999     99
416  A2040 H    148  23099   73   999  999     99
