ra  dec  z  Mr mu r50 C ur smass sfr ssfr d4000 w mest tau zm rsf pe ps nuvr flag
163.3448 -0.7557   0.076 -19.797  20.336  1.778   2.909   2.762   10.544  -1.095 -11.705   1.885 0.093 10.745  11.0666   0.0243  -4.0559   0.500   0.500   5.308     -1
163.2524  0.1796   0.125 -21.237  21.925  6.556   1.939   2.023   10.966   0.698 -10.320   1.519 0.017  1.996  99.0000  99.0000  99.0000   0.430   0.540   2.626      2
164.7494  0.8184   0.103 -21.049  20.808  3.740   2.579   2.452   11.034   1.115  -9.979   1.486 0.020 11.416   8.1350   0.0164  -4.4692   0.130   0.870   3.768      2
165.5587 -1.1034   0.085 -20.281  22.760  6.664   2.580   2.821   10.980   0.165 -10.868   1.506 0.050 11.172   7.3787   0.0144  -2.5713   0.050   0.940   3.633      2
165.9587 -0.6017   0.083 -21.631  19.958  3.426   3.308   2.803   11.290  -0.699 -12.048   1.974 0.008 11.548  11.0312   0.0279  -9.1258   0.810   0.190   5.602     -1
165.9101 -0.6478   0.083 -20.912  20.333  2.926   2.882   2.438   10.976   0.091 -10.943   1.706 0.021 11.247  10.7469   0.0224  -2.3906   0.660   0.320   3.318      5
165.8899 -0.5982   0.084 -19.937  21.399  3.044   2.362   1.562   10.184   0.416  -9.816   1.252 0.084 10.853  10.2967   0.0191  -5.1440   0.010   0.990   2.177      1
165.8531 -0.5871   0.084 -19.764  20.270  1.671   2.921   2.493   10.430  -0.851 -11.313   1.699 0.103 10.731   7.9397   0.0251  -5.5503   0.880   0.120   5.017     -1
164.6667 -0.9871   0.096 -19.834  22.279  4.257   2.327   1.910   10.646  -0.003 -10.731   1.295 0.100 10.450   9.7825   0.0202  -5.2842   0.070   0.840   1.672      2
166.1626  1.1084   0.122 -20.718  20.592  2.807   3.098   1.952   10.696   0.743 -10.004   1.350 0.034 10.640   1.2056   0.0490   0.0000   0.300   0.510   2.516      2
166.3400  0.5023   0.119 -21.016  20.604  3.259   2.769   2.513   10.918  -0.269 -11.249   1.694 0.023  1.996  99.0000  99.0000  99.0000   0.500   0.460   4.960     -1
167.6221 -0.7168   0.064 -20.997  19.780  2.444   3.153   2.775   11.092  -0.619 -11.777   2.108 0.016 11.285  10.5685   0.0200 -99.0000   0.960   0.040   5.318     -1
167.6891 -0.7044   0.064 -18.781  21.603  2.039   2.690   2.361   10.256  -0.479 -10.785   1.524 0.354 10.475   8.0590   0.0387  -3.7503   0.080   0.930   4.186      2
167.5637 -1.1050   0.109 -21.141  20.118  2.808   2.848   2.134   11.084   1.174  -9.962   1.364 0.018 11.110   1.7241   0.0483   0.0000   0.780   0.090   3.717      1
167.5513 -1.0561   0.109 -20.383  21.278  3.381   2.174   1.788   10.186   0.561  -9.663   1.213 0.051 10.724   6.7858   0.0310  -0.7951   0.410   0.000   1.865      1
167.3768 -0.6108   0.065 -20.108  20.629  2.394   3.103   2.810   10.659  -1.168 -11.901   1.816 0.057 10.908  10.7489   0.0228  -3.8902   0.910   0.070   5.559     -1
167.6598  0.0465   0.124 -20.775  21.297  3.972   2.354   2.325   10.905   0.418 -10.545   1.733 0.032 10.848   4.8397   0.0500  -0.8600   0.820   0.120   3.497      2
167.5419 -0.0439   0.093 -20.599  19.836  1.978   3.189   2.800   10.907  -0.882 -11.834   1.924 0.034 11.039   7.8088   0.0411  -5.8745   0.520   0.430   4.675     -1
167.1699 -0.1886   0.072 -19.692  20.108  1.536   2.939   2.878   10.513  -1.350 -11.917   1.894 0.104 10.763  11.1076   0.0242  -3.0175   0.340   0.630   6.245     -1
166.7901  1.1738   0.067 -19.564  20.391  1.664   2.809   2.357   10.295  -0.652 -10.999   1.652 0.126 10.435   6.4232   0.0325  -6.8623   0.600   0.290   4.058      5
167.3954  1.1919   0.065 -20.663  19.902  2.213   3.147   2.480   10.669  -0.889 -11.625   1.744 0.027 10.838   8.9461   0.0189  -2.4490   0.780   0.180   5.386     -1
167.5026  1.2829   0.065 -20.182  22.069  4.811   2.493   2.807   10.857  -0.364 -11.273   1.606 0.051 11.070   8.4392   0.0189  -1.7613   0.010   0.990   4.554      2
167.3444  1.1504   0.065 -19.923  21.423  3.171   2.272   1.752   10.146   0.281  -9.927   1.314 0.080 10.606   5.6015   0.0236  -0.4710   0.160   0.850   2.282      1
167.7957  1.1048   0.091 -21.046  20.309  3.032   3.313   2.767   11.026  -0.818 -11.903   1.920 0.018 11.270  11.1655   0.0320  -3.6940   0.930   0.080   5.137     -1
167.8493  1.1523   0.091 -20.848  20.549  3.090   3.146   2.660   10.875  -0.747 -11.686   1.773 0.024 10.917   6.1942   0.0163  -3.6981   0.790   0.190   5.066     -1
167.7667  1.1660   0.092 -19.825  20.686  2.053   2.776   2.731   10.606  -0.374 -11.035   1.676 0.100 10.957   8.7344   0.0158  -6.9038   0.330   0.470   5.147      2
170.2157 -0.3349   0.103 -20.131  21.418  3.245   2.798   3.044   10.986  -0.679 -11.739   1.790 0.069 11.055  10.8132   0.0273  -3.5905   0.070   0.850   4.831     -1
170.2520 -0.4092   0.102 -19.931  21.030  2.480   2.668   2.797   10.539  -1.300 -11.904   1.914 0.091 10.609   6.6642   0.0238  -2.0694   0.240   0.520   5.951     -1
169.0009  0.1502   0.076 -21.679  19.894  3.449   3.306   2.820   11.341  -0.657 -12.050   2.038 0.007  1.996  99.0000  99.0000  99.0000   0.270   0.660   5.822     -1
169.0370  0.1135   0.076 -20.952  20.731  3.629   2.791   2.623   11.040  -0.377 -11.468   1.861 0.019  1.996  99.0000  99.0000  99.0000   0.800   0.180   4.348      5
169.0001  0.1584   0.077 -19.453  21.830  3.012   2.266   2.291   10.434   0.076 -10.417   1.527 0.151  1.996  99.0000  99.0000  99.0000   0.270   0.660   4.606      1
169.0270  0.2188   0.077 -19.429  21.280  2.313   2.102   1.712   10.054   0.182  -9.920   1.339 0.165 10.328   5.7137   0.0218  -0.6021   0.060   0.910   2.462      1
168.9646  0.1313   0.076 -19.263  20.623  1.586   2.638   2.448   10.325  -0.259 -10.639   1.504 0.195  1.996  99.0000  99.0000  99.0000   0.320   0.560   4.658      5
169.8057  0.7642   0.063 -20.397  20.774  2.932   2.034   1.750   10.479   0.535  -9.992   1.274 0.041 10.931   5.0204   0.0182  -0.4463   0.080   0.920   2.685      1
169.6234  1.0986   0.064 -20.268  19.999  1.933   2.931   2.677   10.736  -0.437 -11.230   1.921 0.045 10.993  11.1286   0.0211  -3.2617   1.000   0.000   5.426      2
169.6490  1.0614   0.063 -20.188  19.257  1.325   3.268   2.827   10.707  -1.177 -11.949   1.990 0.050 10.914  10.9980   0.0240  -7.4093   0.890   0.070   3.983     -1
