ra  dec  z  Mr mu r50 C ur smass sfr ssfr d4000 w mest tau zm rsf pe ps nuvr flag
210.6740  6.0116   0.115 -20.638  21.681  4.525   3.240   2.985   11.086   0.311 -10.841   1.736 0.038 11.507  10.6880   0.0254  -7.6078   0.010   0.990   3.133      2
210.6694  6.1836   0.114 -20.140  21.056  2.705   2.675   2.451   10.726   0.029 -10.750   1.601 0.074 10.964   5.9958   0.0328  -2.1829   0.050   0.950   3.641      2
210.8811  6.8629   0.113 -21.037  20.930  3.866   2.884   2.780   11.189  -0.080 -11.321   1.731 0.021 11.417  10.2289   0.0228  -7.5501   0.860   0.060   5.291      5
212.0836  6.9141   0.114 -20.117  21.427  3.174   2.638   2.368   10.493  -0.237 -10.774   1.591 0.074 10.699   6.8504   0.0234  -0.7985   0.090   0.820   2.918      2
211.9691  6.7625   0.084 -20.262  20.248  2.082   3.171   2.582   10.572  -0.932 -11.564   1.780 0.052 10.796   9.6156   0.0274  -3.0657   0.870   0.050   4.578      5
211.9329  6.7497   0.084 -20.173  20.875  2.668   1.980   1.555   10.187   0.436  -9.802   1.278 0.061 10.686   4.6499   0.0070  -3.4302   0.080   0.800   2.316      1
211.9718  6.7463   0.084 -19.713  21.334  2.668   2.337   2.460   10.429  -0.175 -10.657   1.480 0.110 10.757   9.4311   0.0237  -1.6945   0.030   0.920   3.288      2
212.3676  7.1786   0.118 -21.652  20.995  5.235   3.155   2.801   11.262  -0.663 -11.956   1.939 0.009 11.511  11.2158   0.0282  -3.3623   0.940   0.020   5.608     -1
212.3001  7.2217   0.119 -20.759  20.665  2.976   2.574   2.921   10.975  -0.811 -11.855   1.899 0.033 11.246  10.5906   0.0209  -2.5850   0.090   0.860   6.137     -1
212.1620  6.8096   0.114 -20.436  20.609  2.523   3.067   2.730   10.751  -0.870 -11.680   1.818 0.049 10.978  10.6679   0.0182  -7.5500   0.970   0.000   5.682     -1
212.1647  7.8157   0.114 -21.492  21.625  6.548   2.384   2.809   11.225  -0.564 -11.855   1.779 0.011 11.496  11.0453   0.0309  -3.2251   0.320   0.670   4.479      5
212.4249  6.7685   0.139 -21.280  20.684  3.685   3.056   2.818   11.143  -0.662 -11.844   1.943 0.018 11.506  10.8492   0.0387  -2.5288   0.380   0.120   4.524     -1
212.3857  6.8332   0.139 -20.816  22.031  5.531   2.150   2.686   10.945  -0.550 -11.552   1.756 0.034 11.056   7.4756   0.0312 -99.0000   0.600   0.270   5.145     -1
212.4577  6.7182   0.139 -20.603  21.373  3.705   2.648   2.545   11.204   0.371 -10.872   1.771 0.046 11.260   5.6878   0.0249  -1.9091   0.050   0.820   4.060      5
212.7950  7.1316   0.114 -20.978  20.229  2.715   3.195   2.738   11.113  -0.379 -11.536   1.858 0.024 11.377  11.0636   0.0272  -3.3765   0.660   0.280   4.569      5
212.7164  7.2958   0.113 -20.424  20.430  2.316   2.671   2.705   10.950   1.245  -9.785   1.803 0.049 11.005   8.5369   0.0178  -7.8957   0.200   0.740   6.095     -1
213.8139  5.6398   0.092 -21.834  20.921  5.774   2.425   2.745   11.405  -0.362 -11.833   1.815 0.006 11.640   9.6527   0.0462  -3.4617   0.410   0.560   3.570      4
213.9185  5.6180   0.092 -20.445  21.081  3.277   3.197   2.368   10.659  -0.003 -10.720   1.531 0.043 10.871   8.0249   0.0301  -1.0749   0.130   0.560   3.452      3
214.0219  6.0958   0.130 -20.845  20.442  2.742   2.941   2.744   10.955  -0.772 -11.772   1.895 0.031 11.216  10.5274   0.0227  -2.2919   0.750   0.180   4.207     -1
213.3946  5.5642   0.087 -20.330  21.854  4.476   2.335   1.822   10.328   0.312 -10.076   1.279 0.050 10.495   1.6870   0.0417   0.0000   0.120   0.840   2.341      2
213.4911  5.5710   0.086 -19.745  21.463  2.860   1.991   1.611   10.063   0.267  -9.854   1.267 0.112  1.996  99.0000  99.0000  99.0000   0.070   0.860   2.200      2
213.1516  5.6100   0.087 -20.927  19.853  2.346   3.233   2.895   11.044  -0.952 -12.066   1.926 0.021 11.332  11.2162   0.0321  -3.4901   0.940   0.030   5.688     -1
213.1332  5.6126   0.087 -20.627  20.390  2.616   3.336   2.768   10.759  -1.079 -11.910   1.861 0.032 11.078  10.3566   0.0205 -99.0000   0.470   0.450   5.285     -1
213.2850  7.3055   0.108 -21.742  20.521  4.471   3.022   2.921   11.373  -0.693 -12.111   1.890 0.008 11.640  11.1866   0.0250  -3.3565   1.000   0.000   5.477     -1
213.1273  7.3124   0.107 -20.777  20.763  3.208   2.719   2.836   10.965  -0.736 -11.763   1.922 0.029 11.120   8.2610   0.0394  -7.7130   0.480   0.520   5.692     -1
213.5690  7.1096   0.097 -20.448  20.871  2.948   2.624   2.673   11.018   0.871 -10.197   1.454 0.043 11.226   5.1685   0.0470  -0.4809   0.250   0.700   4.071      1
213.5159  7.0695   0.097 -19.790  21.098  2.418   2.194   1.157    9.824   0.354  -9.523   1.157 0.109 10.156   1.7816   0.0042   0.0000   0.390   0.480   1.731      1
214.2299  7.6539   0.144 -21.188  20.841  3.761   2.568   2.789   10.977  -0.680 -11.724   1.824 0.021 11.056   1.2297   0.0500   0.0000   0.130   0.870   5.561     -1
215.6310  5.6767   0.120 -20.718  20.857  3.187   3.188   2.719   10.858  -0.534 -11.457   1.699 0.034 11.112  10.9722   0.0214  -7.4301   0.750   0.250   5.463     -1
215.6486  5.6793   0.120 -20.712  20.531  2.734   2.387   1.115   10.717   1.166  -9.607   1.215 0.034 11.071   9.3045   0.0347  -3.7211   0.750   0.250   3.012      3
215.0209  5.6830   0.095 -20.462  21.331  3.684   2.135   2.166   10.642   0.228 -10.464   1.419 0.042 10.851   4.1506   0.0384  -0.2896   0.120   0.880   3.352      2
216.3756  6.9227   0.057 -20.262  19.845  1.821   2.970   2.401   10.723  -0.137 -10.914   1.641 0.044 11.085   9.7727   0.0274  -6.7410   0.800   0.200   4.380      4
216.3244  6.7923   0.057 -18.480  20.799  1.242   2.730   2.286   10.062  -0.505 -10.608   1.496 0.513 10.196   3.9712   0.0224  -1.0521   0.320   0.620   4.315      3
217.2037  5.4565   0.113 -21.021  20.555  3.228   3.087   2.925   11.032  -0.986 -12.055   2.001 0.022 11.347  11.3639   0.0222  -3.9864   0.370   0.590   6.024     -1
217.0314  7.0722   0.052 -19.883  21.239  2.930   2.059   1.523   10.075   0.283  -9.851   1.349 0.082 10.457   5.5563   0.0263  -0.4802   0.010   0.990   2.116      3
218.0182  6.7994   0.052 -20.000  19.855  1.635   3.109   2.710   10.623  -1.126 -11.788   1.913 0.061 10.841  11.0121   0.0289  -3.0432   0.620   0.380   5.813     -1
218.0282  6.8578   0.052 -19.909  20.844  2.474   2.490   2.393   10.571   0.153 -10.463   1.320 0.070 10.824   8.6933   0.0464  -1.3581   0.320   0.630   3.604      1
217.9686  6.8088   0.052 -18.927  20.982  1.676   2.184   2.165   10.041  -0.612 -10.698   1.554 0.278 10.256   3.3977   0.0153  -0.1900   0.410   0.430   3.236      2
220.3557  5.4580   0.093 -21.188  19.387  2.109   3.021   2.539   11.075   0.188 -10.937   1.645 0.015 11.361  10.1149   0.0318  -1.9855   0.730   0.140   3.470      5
220.3587  5.4785   0.094 -20.123  21.259  3.056   2.209   1.188    9.917   0.517  -9.461   1.228 0.068 10.277   3.8047   0.0230  -0.4400   0.200   0.610   1.838      1
220.4392  5.5017   0.093 -19.642  22.480  4.301   2.174   2.456   10.490   0.261 -10.286   1.343 0.130 10.918   6.5325   0.0396  -1.4073   0.020   0.980   3.411      1
220.0749  5.9428   0.061 -21.717  19.792  3.440   3.358   2.649   11.277  -0.351 -11.671   1.750 0.006 11.510  11.0805   0.0291  -5.9166   0.910   0.000   4.901      5
219.8737  5.8972   0.062 -20.198  20.866  2.800   2.308   2.435   10.570  -0.461 -11.084   1.989 0.050 10.921   9.7378   0.0301  -1.6048   0.350   0.620   3.624     -1
219.9645  5.9827   0.062 -20.076  21.229  3.131   2.913   2.585   10.612  -0.660 -11.315   1.884 0.060 10.784  10.2663   0.0253  -7.8967   0.080   0.790   3.003     -1
218.5763  7.2366   0.113 -21.082  20.548  3.310   2.685   2.820   11.111  -0.009 -11.171   1.816 0.020 11.343  11.0328   0.0198  -4.1357   0.360   0.050   4.080      2
218.5737  7.1713   0.113 -20.714  20.547  2.791   3.026   3.042   10.939  -1.023 -12.013   1.929 0.033 11.278  11.2195   0.0272  -3.4636   0.600   0.350   6.077     -1
218.6149  7.1156   0.115 -20.072  21.337  2.978   2.735   2.936   10.870  -0.596 -11.531   1.722 0.083 11.253  10.3990   0.0323  -2.0441   0.010   0.960   5.048     -1
218.6759  6.6341   0.113 -20.403  20.676  2.565   2.990   2.832   10.808  -1.051 -11.917   1.987 0.051 11.077  11.3240   0.0283  -8.3672   0.470   0.460   5.643     -1
218.9187  6.7148   0.113 -21.334  21.428  5.574   2.935   2.758   11.028  -0.826 -11.924   1.839 0.014 11.196  10.7444   0.0263  -3.2335   0.110   0.890   3.461     -1
218.8265  6.6314   0.114 -20.649  20.956  3.264   2.954   2.465   10.878   0.584 -10.343   1.526 0.036 11.242   8.5422   0.0213  -1.1328   0.110   0.840   3.380      2
218.9535  6.7005   0.114 -20.283  20.994  2.808   2.535   2.578   10.754  -0.368 -11.170   1.626 0.060 11.228  10.4988   0.0269  -2.1329   0.080   0.790   3.169      5
220.2900  6.1367   0.062 -19.670  20.893  2.223   3.084   2.228   10.416  -0.080 -10.558   1.504 0.106 10.621   8.5304   0.0151  -5.8876   0.030   0.950   4.550      3
220.2474  6.2310   0.062 -18.762  21.932  2.362   2.504   0.586    9.201   0.667  -8.592   1.023 0.432  8.767   0.0110   0.0029   0.0000   0.040   0.290   1.195      1
222.5021  5.4850   0.127 -21.066  20.439  3.047   2.604   2.866   11.025  -0.757 -11.834   1.825 0.022 11.229  11.0071   0.0190  -2.7970   0.490   0.510   4.843     -1
222.1258  6.0467   0.064 -19.877  19.616  1.352   2.814   2.644   10.545  -0.990 -11.590   1.785 0.078 10.786  10.9678   0.0236  -7.8735   0.580   0.350   5.879     -1
222.0620  6.0444   0.063 -19.720  21.018  2.406   3.189   2.582   10.419  -0.874 -11.368   1.687 0.099 10.696  11.1611   0.0167  -6.6319   0.150   0.680   3.244      5
222.0264  6.1493   0.063 -19.304  20.621  1.652   2.887   2.487   10.287  -0.965 -11.323   1.723 0.174 10.438   9.0840   0.0225  -6.8315   0.780   0.160   4.970     -1
222.0321  6.0419   0.064 -18.881  20.562  1.321   2.389   2.763   10.110  -0.880 -11.054   1.537 0.308 10.525   8.1672   0.0216  -1.3148   0.460   0.400   5.702      5
221.6767  6.6791   0.141 -21.057  22.219  6.712   1.891   1.611   10.723   0.853  -9.919   1.380 0.022 11.243   8.1618   0.0162  -4.9464   0.010   0.970   2.632      2
221.9009  7.2055   0.100 -20.125  21.972  4.200   2.426   1.841   10.213   0.260 -10.011   1.355 0.070 10.688   6.4065   0.0084  -5.4422   0.190   0.670   2.226      2
222.0507  6.8927   0.098 -19.726  21.836  3.294   2.102   1.530    9.982   0.339  -9.705   1.211 0.119 10.382   5.5320   0.0061  -4.4195   0.060   0.830   2.147      1
241.1177  5.6402   0.065 -20.615  20.272  2.564   3.112   2.265   10.823   0.272 -10.601   1.554 0.029 11.020   9.5985   0.0272  -1.4832   0.770   0.140   3.373      1
241.0418  5.6572   0.064 -19.882  20.104  1.698   2.600   2.159   10.537   0.464 -10.115   1.414 0.080 10.784   7.4192   0.0404  -0.8951   0.080   0.880   2.964      3
241.1888  5.6186   0.064 -18.939  21.290  1.900   2.434   2.651   10.242  -0.942 -11.235   1.726 0.287 10.336   6.9850   0.0411  -1.0243   0.090   0.860   4.651      2
242.2697  5.3539   0.141 -20.934  20.394  2.736   2.276   1.203   10.805   1.092  -9.768   1.225 0.026 11.048   7.8041   0.0179  -1.5130   0.360   0.390   2.204      3
242.2240  5.3434   0.138 -20.752  20.500  2.656   2.783   3.031   11.014  -0.631 -11.715   1.796 0.038 11.377   9.8094   0.0432  -1.7597   0.210   0.620   5.648      5
208.6406 34.1759   0.054 -20.758  21.208  4.306   3.107   2.800   10.858  -0.997 -11.888   1.861 0.021 11.189  11.1578   0.0211  -3.1456   0.430   0.050   5.202      5
208.6045 34.1819   0.054 -19.534  19.771  1.264   2.957   2.663   10.345  -1.349 -11.757   1.810 0.120 10.557  10.3271   0.0220 -99.0000   0.740   0.210   5.215     -1
209.6411 35.8862   0.062 -20.131  19.678  1.570   3.025   2.589   10.745   0.671 -10.122   1.524 0.054 11.054   8.5471   0.0261  -1.4433   0.620   0.380   4.408      3
209.6364 35.8560   0.061 -19.147  20.750  1.638   2.812   2.110   10.211   0.030 -10.231   1.366 0.220 10.512   6.3378   0.0226  -1.4341   0.040   0.960   2.657      1
209.5958 35.8958   0.062 -18.772  21.579  2.016   2.386   1.835    9.734  -0.142  -9.924   1.217 0.380 10.104   3.7985   0.0052  -0.4672   0.060   0.890   3.080      1
209.5894 35.9172   0.062 -18.562  21.310  1.616   2.053   1.610    9.601  -0.317  -9.969   1.213 0.511 10.151  10.2331   0.0141  -4.8185   0.260   0.580   2.648      1
216.4358 32.3609   0.083 -21.693  20.878  5.386   3.099   2.833   11.408   0.273 -11.186   1.859 0.007 11.585   6.9088   0.0488  -1.6534   1.000   0.000   5.951      2
216.4214 32.3730   0.085 -20.968  20.152  2.754   3.213   2.809   11.087  -0.756 -11.885   1.901 0.019 11.334  11.0570   0.0290  -5.1806   0.880   0.120   5.771     -1
215.0962 34.2028   0.067 -20.234  20.650  2.549   3.162   2.906   10.769  -1.298 -12.134   2.032 0.048 11.082  11.1047   0.0272  -3.0082   0.880   0.080   4.937     -1
215.6033 34.0570   0.124 -20.561  21.503  3.961   2.193   1.854   10.453   0.495 -10.008   1.387 0.042 10.649   6.5345   0.0270  -0.6270   0.130   0.690   2.676      2
217.3197 32.4306   0.130 -20.419  21.514  3.689   2.522   1.686   10.430   0.595  -9.884   1.255 0.052 10.928   5.6955   0.0243  -0.6480   0.190   0.480   2.339      1
220.8766 31.5994   0.063 -21.332  20.214  3.486   3.527   2.839   11.161  -0.881 -12.091   1.908 0.010 11.368  11.2674   0.0278  -3.5092   0.310   0.520   5.747     -1
220.8442 31.5863   0.063 -20.924  20.633  3.506   2.845   2.748   10.995  -0.805 -11.880   1.794 0.018 11.229  10.9749   0.0220  -7.6983   0.630   0.370   4.536      5
220.9303 31.5473   0.063 -19.636  21.231  2.552   1.884   2.125   10.241  -0.228 -10.526   1.488 0.113 10.696   9.1703   0.0162  -1.2797   0.490   0.260   3.051      2
220.8074 31.5361   0.063 -19.459  19.949  1.304   2.808   2.691   10.337  -1.429 -11.814   1.839 0.139 10.530   8.5445   0.0214  -1.7729   0.720   0.240   5.519     -1
220.5979 31.2886   0.063 -20.847  20.275  2.872   2.106   1.746   10.599   0.736  -9.918   1.303 0.022 11.012   6.6384   0.0384  -0.7205   0.010   0.990   2.515      1
220.6165 31.3770   0.063 -19.643  21.286  2.627   2.647   1.840   10.195   0.122 -10.117   1.305 0.115 10.641   8.0248   0.0062  -3.6524   0.040   0.960   2.656      1
220.6597 31.2365   0.064 -19.868  21.035  2.590   2.099   1.538   10.155   0.381  -9.834   1.204 0.086 10.713   8.1726   0.0300  -1.0489   0.010   0.750   2.347      1
241.0788 23.0828   0.087 -21.439  21.514  6.373   2.000   2.104   10.963   0.535 -10.484   1.666 0.011 11.379  11.2731   0.0196  -3.5604   0.000   1.000   2.603      2
238.7327 23.6861   0.072 -21.238  19.864  2.797   3.162   2.776   11.062  -0.963 -12.042   1.908 0.013 10.999   5.9356   0.0292  -1.1804   0.030   0.970   5.600     -1
238.7194 23.6700   0.072 -19.733  21.313  2.724   2.451   2.307   10.482  -0.050 -10.581   1.496 0.100 10.879   8.3384   0.0384  -5.7383   0.030   0.970   3.896      2
238.8380 23.7749   0.072 -19.211  21.576  2.416   2.255   1.674    9.825  -0.138 -10.012   1.237 0.221 10.235   3.8627   0.0110  -0.1964   0.150   0.770   2.495      2
239.1421 24.4855   0.071 -19.070  22.027  2.793   2.021   1.647    9.808   0.023  -9.832   1.367 0.266  9.858   5.1777   0.0220  -0.8073   0.150   0.760   2.389      1
239.3396 24.1206   0.071 -19.931  20.421  1.981   2.732   2.219   10.548  -0.015 -10.613   1.522 0.075 10.756   7.5271   0.0310  -1.1521   0.300   0.510   4.245      3
240.5167 24.2094   0.063 -21.336  21.022  5.068   2.588   2.188   11.096   0.743 -10.408   1.392 0.011 11.453   8.3431   0.0347  -1.0458   0.000   0.970   3.300      3
240.4782 24.1509   0.063 -21.107  20.913  4.339   2.460   1.397   10.693   1.073  -9.664   1.136 0.016 11.060   7.5753   0.0338  -3.3963   0.000   1.000   2.055      1
240.4003 24.1692   0.063 -19.225  21.789  2.731   2.210   1.631    9.904   0.037  -9.922   1.235 0.208 10.291   2.5828   0.0067  -0.3743   0.030   0.930   2.598      1
242.7396 21.4947   0.086 -21.290  20.732  4.157   2.241   2.675   11.189  -0.298 -11.532   1.845 0.013 11.384   8.7185   0.0290  -1.5050   0.270   0.410   3.438     -1
242.7322 21.4997   0.088 -19.800  21.204  2.596   2.512   2.090   10.278  -0.114 -10.438   1.339 0.102 10.581   4.2993   0.0081  -0.1615   0.270   0.410   3.203      2
112.0597 41.2515   0.102 -20.749  21.745  5.023   2.596   3.370   11.109  -0.867 -12.035   2.204 0.029 11.954  11.3109   0.0494  -3.9553   0.020   0.980   3.590      5
112.1122 41.2923   0.102 -20.505  20.783  2.881   2.716   2.477   10.871   0.728 -10.190   1.633 0.041 10.962   6.1764   0.0356  -0.6495   0.070   0.930   4.018      2
112.0889 41.2725   0.102 -20.093  21.153  2.828   2.638   1.737   10.411   0.503  -9.964   1.452 0.072 10.797   8.6576   0.0151  -1.1696   0.130   0.670   2.432      1
111.4169 40.6028   0.058 -19.988  19.722  1.512   2.776   2.864   10.642  -1.298 -11.986   1.921 0.063 10.793   8.1949   0.0312  -7.5291   0.680   0.050   5.724     -1
111.3756 40.6792   0.059 -19.159  21.517  2.356   2.183   2.162   10.117  -0.420 -10.588   1.414 0.212 10.290   3.1370   0.0196  -0.1757   0.050   0.950   3.348      1
110.7018 41.4893   0.087 -21.516  20.509  4.158   3.418   2.894   11.261  -0.668 -11.982   1.945 0.009 11.535  11.1075   0.0291  -3.6183   0.930   0.030   4.843     -1
110.4290 41.4884   0.089 -20.385  20.984  3.062   2.448   2.647   10.837  -0.614 -11.489   2.002 0.045 11.135  10.7990   0.0272  -3.4288   0.250   0.730   5.305     -1
110.5510 41.4510   0.089 -19.414  21.519  2.508   2.128   2.032   10.272  -0.308 -10.639   1.442 0.173 10.543   6.3489   0.0242  -0.4896   0.240   0.530   3.891      2
110.8374 42.7398   0.062 -19.392  20.245  1.450   2.724   1.788   10.332   0.299 -10.079   1.287 0.155 10.568   6.0542   0.0366  -0.7594   0.800   0.160   2.770      1
110.9333 42.6261   0.062 -19.239  20.559  1.561   2.212   1.640   10.021   0.264  -9.801   1.242 0.196 10.272   4.9622   0.0373  -0.5044   0.380   0.370   3.106      1
110.9762 42.0810   0.070 -20.508  19.675  1.838   3.229   2.842   10.900  -0.861 -11.791   1.880 0.033  1.996  99.0000  99.0000  99.0000   0.620   0.360   5.241     -1
111.9807 41.9589   0.057 -20.008  20.357  2.046   2.900   2.755   10.797  -0.689 -11.537   0.000 0.062 10.797   2.1063   0.0487  -0.0667   0.410   0.590   4.504      3
111.9525 41.8535   0.056 -19.509  20.672  1.884   2.432   2.238   10.273  -0.228 -10.553   1.535 0.128 10.608   7.9457   0.0247  -0.9058   0.480   0.260   3.633      1
111.9995 41.8644   0.056 -19.491  20.918  2.093   3.248   2.759   10.434  -1.240 -11.728   1.756 0.128 10.576   8.0687   0.0222  -1.8250   0.730   0.200   3.173      3
112.0470 42.0163   0.057 -18.638  21.539  1.880   2.045   0.923    9.206   0.023  -9.243   1.103 0.505  9.855   7.6489   0.0022  -2.9593   0.060   0.600   1.516      1
111.9049 41.9037   0.057 -18.624  20.613  1.219   2.613   2.176    9.996  -0.975 -11.022   1.732 0.430 10.147   8.1475   0.0130  -4.5559   0.670   0.250   4.499      2
111.9817 42.6822   0.119 -21.670  20.792  4.802   3.178   2.854   11.333  -0.598 -11.994   1.892 0.009 11.523  11.1607   0.0306  -3.4166   0.110   0.580   5.166     -1
112.0638 42.8425   0.121 -20.473  21.500  3.820   2.061   2.301   10.660   0.247 -10.460   1.513 0.048 11.100   7.1907   0.0188  -3.4522   0.190   0.660   3.508      2
111.8597 42.9475   0.122 -20.464  21.397  3.620   2.351   2.169   10.738   0.901  -9.886   1.348 0.049 11.020   3.9763   0.0271  -0.9077   0.070   0.850   2.828      1
112.0294 42.8239   0.119 -20.176  21.669  3.614   2.085   2.296   10.608   0.093 -10.573   1.428 0.072 10.954  11.0649   0.0196  -3.2287   0.140   0.710   3.624     -1
112.1739 44.0400   0.085 -19.481  21.399  2.464   2.428   2.358   10.372  -0.347 -10.771   1.831 0.153  1.996  99.0000  99.0000  99.0000   0.110   0.830   3.320      2
113.6008 43.9797   0.067 -19.059  21.112  1.836   2.874   2.599   10.155  -0.895 -11.103   1.746 0.251 10.319   8.4820   0.0248  -8.2776   0.600   0.220   4.368      2
112.7111 44.9336   0.072 -21.269  19.956  2.959   3.154   3.066   11.271  -1.007 -12.332   2.003 0.012 11.178   1.1997   0.0500   0.0000   0.870   0.060   5.305     -1
112.8114 44.9361   0.072 -19.841  20.187  1.706   2.719   2.627   10.584  -0.619 -11.239   1.680 0.085 11.031   8.8806   0.0252  -6.5678   0.470   0.520   4.386      5
112.6750 44.8969   0.072 -19.263  21.425  2.311   2.142   2.161   10.141  -0.451 -10.651   1.462 0.194 10.640   8.9770   0.0344  -3.6517   0.110   0.670   3.851      5
112.4654 44.8282   0.129 -20.627  21.735  4.504   2.282   1.663   10.391   0.554  -9.891   1.409 0.037 10.747   7.8649   0.0161  -1.6088   0.010   0.910   2.238      2
112.3950 44.8754   0.129 -20.563  21.138  3.319   2.375   2.173   10.569   0.534 -10.092   1.447 0.044 10.951   5.0082   0.0241  -0.8384   0.110   0.840   3.281      3
112.0986 45.0256   0.075 -20.149  20.854  2.658   2.323   2.401   10.641  -0.070 -10.754   1.570 0.057 11.161  10.0964   0.0178  -1.9725   0.110   0.870   3.839      2
112.5113 45.5915   0.092 -21.236  19.643  2.431   3.064   2.870   11.177  -0.008 -11.237   1.962 0.014 11.506  11.1503   0.0269  -3.1245   0.400   0.200   5.729      2
112.4116 45.5544   0.093 -21.210  20.403  3.406   2.739   2.119   11.010   0.903 -10.147   1.423 0.015 11.063   1.0802   0.0489   0.0000   0.260   0.570   3.213      1
112.5783 45.5897   0.091 -20.925  19.562  2.031   3.135   2.679   10.876  -0.919 -11.852   1.899 0.022 11.240  10.7388   0.0238  -2.5723   0.920   0.080   6.166     -1
112.4721 45.5337   0.093 -20.954  20.737  3.526   3.133   2.777   11.041  -0.741 -11.816   1.829 0.021 11.437  10.4451   0.0222 -10.0637   0.840   0.130   4.731      5
112.5421 45.6344   0.092 -20.095  22.160  4.584   2.025   1.865   10.435   0.250 -10.242   1.250 0.070 10.409   3.3262   0.0332  -0.4035   0.010   0.950   2.682      2
112.3820 45.4620   0.092 -19.891  21.816  3.562   2.565   2.297   10.507   0.166 -10.395   1.348 0.092 10.905   6.5882   0.0339  -0.8263   0.060   0.840   3.765      3
112.5359 45.5625   0.092 -19.676  21.165  2.390   2.381   2.908   10.547   0.513 -10.085   1.636 0.122 10.920   8.2965   0.0154  -0.9614   0.290   0.190   3.887      2
112.6389 45.5876   0.092 -19.626  21.029  2.191   2.239   2.395   10.451  -0.320 -10.807   1.548 0.132 10.846   7.8990   0.0322  -1.3977   0.050   0.950   3.839      5
112.4903 45.6870   0.092 -19.607  20.724  1.890   2.371   2.247   10.433  -0.308 -10.795   1.694 0.136 10.512   1.5400   0.0447   0.0000   0.240   0.660   4.321      3
114.3023 45.2644   0.118 -20.627  20.888  3.107   2.921   2.766   10.890  -0.741 -11.700   1.858 0.039 10.959   8.1994   0.0287  -5.8083   0.760   0.240   5.357     -1
116.7181 48.1202   0.119 -20.264  21.395  3.316   2.358   2.610   10.731  -0.467 -11.240   1.803 0.064 11.019   6.3130   0.0209  -2.7185   0.350   0.500   5.598     -1
116.7456 48.2423   0.118 -20.084  22.228  4.488   1.835   2.284   10.705  -0.114 -10.878   1.659 0.082 11.193  11.3549   0.0192 -99.0000   0.490   0.320   3.722     -1
116.0275 49.2703   0.097 -20.817  21.114  3.915   2.189   2.075   10.765   0.516 -10.303   1.378 0.026 11.237   9.6489   0.0221  -1.6744   0.250   0.750   2.991      2
115.6720 48.8261   0.097 -21.706  20.260  3.973   3.259   2.970   11.361  -0.803 -12.211   2.007 0.008 11.342   1.2308   0.0500   0.0000   0.780   0.000   6.198     -1
115.5162 48.9107   0.097 -20.227  21.221  3.128   1.965   1.672   10.324   0.256 -10.127   1.240 0.059 10.702   4.9972   0.0156  -0.3880   0.110   0.430   2.242      1
114.9583 49.4048   0.084 -20.114  20.877  2.597   2.199   1.475   10.166   0.350  -9.865   1.288 0.066 10.760   7.1023   0.0432  -1.8681   0.100   0.730   2.162      1
117.2196 50.6599   0.087 -19.917  22.408  4.774   2.364   1.566   10.018   0.024 -10.081   1.343 0.091 10.407   8.4083   0.0153  -3.5644   0.530   0.360   1.513      1
118.8340 51.2740   0.056 -18.959  20.658  1.453   2.521   2.408   10.063  -1.155 -11.267   1.672 0.272 10.133   7.9796   0.0206  -0.9203   0.290   0.660   5.571     -1
119.0337 51.2333   0.056 -18.354  21.348  1.510   2.344   2.712    9.861  -1.476 -11.383   1.665 0.606 10.390  10.1411   0.0234  -2.0620   0.430   0.340   4.410     -1
118.7467 51.2219   0.104 -20.570  20.768  2.939   2.736   2.559   10.867   0.273 -10.662   1.609 0.038 11.009   6.9608   0.0381  -0.7021   0.160   0.840   4.292      4
118.6535 51.1572   0.103 -20.190  20.694  2.391   2.939   2.027   10.569   0.533 -10.091   1.291 0.064 10.828   6.8992   0.0482  -1.7433   0.730   0.190   3.363      2
118.6790 51.1709   0.103 -20.187  20.396  2.080   2.305   1.881   10.572   0.870  -9.742   1.228 0.064 10.884   6.2670   0.0189  -1.2605   0.570   0.290   2.624      3
118.5971 51.0659   0.057 -19.906  20.844  2.446   2.282   2.490   10.644  -0.392 -11.082   1.642 0.073 10.812  10.0482   0.0270  -1.7446   0.390   0.550   3.600      5
118.7246 50.9800   0.056 -19.066  21.865  2.661   2.896   2.904   10.759  -0.109 -10.913   1.582 0.215 11.031   7.9551   0.0295  -1.1330   0.480   0.470   5.849      2
118.9483 50.8832   0.057 -18.387  21.052  1.337   2.324   1.823    9.971   0.349  -9.685   1.289 0.602 10.570   7.0724   0.0178  -4.2445   0.280   0.560   3.270      1
117.9088 51.5973   0.085 -21.226  20.194  3.159   3.054   2.907   11.220  -0.790 -12.070   1.929 0.014 11.437  11.1882   0.0246  -3.7449   0.690   0.240   6.429     -1
117.9217 51.5113   0.084 -19.311  22.760  4.270   2.070   1.974    9.899  -0.152 -10.126   1.418 0.202 10.086   1.2078   0.0083   0.0000   0.120   0.830   2.204      2
118.3802 51.9004   0.133 -20.477  22.245  5.283   2.817   2.914   11.104   0.460 -10.702   1.646 0.052 11.045   2.1228   0.0366   0.0000   0.000   1.000   3.373      2
118.5402 51.5052   0.099 -19.962  20.566  2.041   2.993   2.595   10.550  -0.923 -11.511   1.779 0.086 10.781  10.3364   0.0184  -1.9609   0.810   0.150   4.188     -1
118.4645 51.4635   0.100 -19.922  20.801  2.232   2.137   1.792   10.301   0.291 -10.065   1.235 0.092 10.387   1.5344   0.0263   0.0000   0.180   0.620   2.767      1
